char,pca_3,pca_5,pca_7
185,[-489.75078852  238.33767687 -281.10110687],[-489.75078852  238.33767687 -281.10110687  -55.96690026  202.01990817],"[-489.75078852  238.33767687 -281.10110687  -55.96690026  202.01990817
   16.2019836  -328.12072202]"
186,[-278.6664504  -119.02444041  101.30985648],[-278.6664504  -119.02444041  101.30985648   50.42382336   34.70723556],"[-278.6664504  -119.02444041  101.30985648   50.42382336   34.70723556
  128.5370701   204.66019461]"
187,[-209.92057081 -197.24923153 -207.1410129 ],[-209.92057081 -197.24923153 -207.1410129  -124.51995307 -103.56523769],"[-209.92057081 -197.24923153 -207.1410129  -124.51995307 -103.56523769
 -262.90224036  209.09128169]"
188,[ 415.19324379   27.90636264 -329.5672782 ],[ 415.19324379   27.90636264 -329.5672782   323.22091323 -193.18912287],"[ 415.19324379   27.90636264 -329.5672782   323.22091323 -193.18912287
  -79.87426103  229.24191301]"
189,[398.87315292 158.72650431 -99.26609257],[ 398.87315292  158.72650431  -99.26609257  319.78594384 -216.85731146],"[ 398.87315292  158.72650431  -99.26609257  319.78594384 -216.85731146
  -58.2299003   137.21242222]"
190,[405.54176825   5.97873092 -66.58181982],[ 405.54176825    5.97873092  -66.58181982  424.07472862 -251.41313097],"[ 405.54176825    5.97873092  -66.58181982  424.07472862 -251.41313097
 -122.42846141  414.75698358]"
191,[-257.50405074   16.43825091  116.36976916],[-257.50405074   16.43825091  116.36976916 -121.80362664   64.07182018],"[-257.50405074   16.43825091  116.36976916 -121.80362664   64.07182018
   97.80802286 -166.18798922]"
192,[ 289.30229508 -660.98094817 -180.02197774],[ 289.30229508 -660.98094817 -180.02197774  442.91521579  814.32641334],"[ 289.30229508 -660.98094817 -180.02197774  442.91521579  814.32641334
 -169.64251132  -35.16122438]"
193,[ 288.00888012 -652.33726537 -177.14716613],[ 288.00888012 -652.33726537 -177.14716613  442.75862801  817.66763011],"[ 288.00888012 -652.33726537 -177.14716613  442.75862801  817.66763011
 -145.78147522  -38.66144027]"
194,[ 311.34308376 -637.35030367 -147.10140352],[ 311.34308376 -637.35030367 -147.10140352  472.3731528   864.62959327],"[ 311.34308376 -637.35030367 -147.10140352  472.3731528   864.62959327
 -187.76492464  -42.84773873]"
